epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.878,1.88718,3.01157,1.75172,0.43278,0.3172,0.28955,0.11782,2.18283,3.3103,1.70636,0.00332783,0.00332783,0.00332783
2,392.368,1.84424,2.18486,1.68692,0.41356,0.2879,0.24557,0.1002,2.26695,2.4044,1.76627,0.00659522,0.00659522,0.00659522
3,579.783,1.92806,2.0897,1.77212,0.31239,0.24516,0.17437,0.07183,2.20907,3.79309,1.81486,0.00979661,0.00979661,0.00979661
4,766.566,1.96388,2.06164,1.79767,0.36696,0.28629,0.23382,0.08743,2.34339,2.0973,1.99868,0.009703,0.009703,0.009703
5,953.177,1.90632,1.94776,1.77347,0.39404,0.29516,0.27646,0.11027,2.2913,1.96824,1.8806,0.009604,0.009604,0.009604
6,1139.83,1.8582,1.86568,1.74332,0.37614,0.29355,0.25676,0.11281,2.10455,2.08598,1.76157,0.009505,0.009505,0.009505
7,1326.55,1.81249,1.8191,1.70735,0.42274,0.30565,0.28356,0.11393,2.16719,1.90621,1.81049,0.009406,0.009406,0.009406
8,1513.48,1.799,1.76979,1.69047,0.45104,0.3408,0.33203,0.16419,1.98657,1.83842,1.60759,0.009307,0.009307,0.009307
9,1700.16,1.77557,1.71151,1.68077,0.47342,0.3336,0.34874,0.16351,2.00502,1.70073,1.64752,0.009208,0.009208,0.009208
10,1887.02,1.76905,1.6967,1.65516,0.43468,0.37097,0.3593,0.16837,1.97518,1.73216,1.62964,0.009109,0.009109,0.009109
11,2074.03,1.74788,1.6614,1.65361,0.47537,0.34651,0.36152,0.17418,2.00912,1.66045,1.6242,0.00901,0.00901,0.00901
12,2260.87,1.7261,1.65466,1.63493,0.45029,0.36478,0.34164,0.15486,2.07932,1.70019,1.70234,0.008911,0.008911,0.008911
13,2447.97,1.71256,1.61455,1.63042,0.49178,0.36909,0.37924,0.19406,1.9016,1.59251,1.54463,0.008812,0.008812,0.008812
14,2634.88,1.6998,1.58744,1.61779,0.48098,0.37243,0.37799,0.19077,1.91835,1.59694,1.57852,0.008713,0.008713,0.008713
15,2822,1.695,1.57399,1.60999,0.50429,0.3752,0.38869,0.17491,2.04592,1.66229,1.64049,0.008614,0.008614,0.008614
16,3009.56,1.69346,1.55143,1.59901,0.4492,0.35672,0.37773,0.19144,1.9449,1.62787,1.5705,0.008515,0.008515,0.008515
17,3196.96,1.6692,1.53857,1.58691,0.47331,0.39957,0.3855,0.18847,1.9056,1.577,1.56957,0.008416,0.008416,0.008416
18,3384.12,1.66345,1.51917,1.59239,0.49852,0.40699,0.40689,0.20601,1.88407,1.55673,1.53547,0.008317,0.008317,0.008317
19,3571.04,1.64779,1.52414,1.58055,0.50653,0.39595,0.41405,0.20852,1.93592,1.49719,1.54664,0.008218,0.008218,0.008218
20,3758.13,1.64356,1.48093,1.56745,0.46413,0.37366,0.38749,0.17996,1.94607,1.57665,1.60438,0.008119,0.008119,0.008119
21,3945.3,1.64095,1.47744,1.56176,0.54453,0.38226,0.41084,0.21505,1.84823,1.50429,1.50349,0.00802,0.00802,0.00802
22,4132.54,1.61667,1.43532,1.55374,0.556,0.41641,0.42139,0.20828,1.92406,1.52391,1.51853,0.007921,0.007921,0.007921
23,4320.02,1.61543,1.44992,1.5475,0.46151,0.39973,0.40653,0.21003,1.87841,1.53068,1.4854,0.007822,0.007822,0.007822
24,4507.07,1.61249,1.45028,1.54333,0.47695,0.40081,0.4041,0.21148,1.84007,1.49661,1.46383,0.007723,0.007723,0.007723
25,4694.07,1.60137,1.43762,1.54579,0.4935,0.4129,0.41541,0.2198,1.82158,1.45078,1.46074,0.007624,0.007624,0.007624
26,4881.34,1.60637,1.43888,1.53336,0.52348,0.39973,0.4223,0.2284,1.80386,1.45828,1.45531,0.007525,0.007525,0.007525
27,5068.2,1.59459,1.43172,1.52899,0.50428,0.40582,0.4171,0.22157,1.85979,1.43588,1.47638,0.007426,0.007426,0.007426
28,5255.17,1.58741,1.39923,1.51873,0.49916,0.41022,0.41839,0.22785,1.77671,1.46786,1.43426,0.007327,0.007327,0.007327
29,5441.61,1.58622,1.40063,1.51829,0.48824,0.43291,0.42305,0.22914,1.82144,1.42265,1.43783,0.007228,0.007228,0.007228
